Tag,Acceptance rate
Doubly-Linked List,[-1.91372434e+12]
Design,[-1.88314997e+12]
Linked List,[-9.22657678e+11]
Binary Search,[1.59756751e+11]
Greedy,[1.72146335e+11]
String,[1.79835964e+11]
Breadth-First Search,[2.24976961e+11]
Graph,[2.68436745e+11]
Divide and Conquer,[3.65389644e+11]
Bucket Sort,[3.65389644e+11]
Counting,[3.65389644e+11]
Quickselect,[3.65389644e+11]
Two Pointers,[3.77435203e+11]
Prefix Sum,[3.77435203e+11]
Sliding Window,[3.87315977e+11]
Dynamic Programming,[4.17343816e+11]
Array,[4.37423029e+11]
Eulerian Circuit,[4.59183455e+11]
Tree,[4.70033134e+11]
Binary Tree,[4.70033134e+11]
Depth-First Search,[5.64569675e+11]
Matrix,[6.29789885e+11]
Backtracking,[6.29789885e+11]
Recursion,[6.29789885e+11]
Hash Table,[7.25037934e+11]
Topological Sort,[7.98776169e+11]
Union Find,[8.10466455e+11]
Shortest Path,[8.10466455e+11]
Sorting,[8.5683297e+11]
Heap (Priority Queue),[8.95066579e+11]
Memoization,[1.09982302e+12]
Ordered Set,[1.38797812e+12]
Stack,[1.27025095e+13]
