Tag,Acceptance rate
String,[0.29319645]
Dynamic Programming,[0.29440367]
Breadth-First Search,[0.31201815]
Backtracking,[0.32263538]
Two Pointers,[0.34189439]
Math,[0.34205186]
Design,[0.34205186]
Randomized,[0.34205186]
Array,[0.35769263]
Topological Sort,[0.35978647]
Union Find,[0.35978647]
Graph,[0.35978647]
Geometry,[0.35978647]
Binary Search,[0.36628561]
Heap (Priority Queue),[0.36628561]
Recursion,[0.36679382]
Trie,[0.3675011]
Memoization,[0.39815305]
Sorting,[0.41319396]
Matrix,[0.42026064]
Queue,[0.43308857]
Depth-First Search,[0.43618497]
Tree,[0.43618497]
Binary Tree,[0.43618497]
Counting,[0.46526597]
Hash Table,[0.47848014]
Monotonic Stack,[0.51912556]
Stack,[0.52613291]
