Tag,Acceptance rate
Topological Sort,[0.2538584]
Math,[0.3475725]
Hash Table,[0.36722859]
Stack,[0.3935705]
Linked List,[0.39499124]
String,[0.39953036]
Dynamic Programming,[0.45217988]
Array,[0.46899761]
Ordered Set,[0.48156805]
Binary Tree,[0.49865542]
Tree,[0.49865542]
Number Theory,[0.50278502]
Enumeration,[0.50278502]
Recursion,[0.51128079]
Backtracking,[0.53217155]
Matrix,[0.53217155]
Sorting,[0.56374343]
Depth-First Search,[0.57481518]
Breadth-First Search,[0.57481518]
Graph,[0.57894478]
Design,[0.58868768]
Doubly-Linked List,[0.58868768]
Sliding Window,[0.5957744]
Two Pointers,[0.60042119]
Divide and Conquer,[0.60140369]
Greedy,[0.65571913]
Monotonic Stack,[0.70317107]
