Tag,Acceptance rate
Doubly-Linked List,[-1.2084183e+13]
Binary Tree,[-8.86574803e+12]
Bit Manipulation,[-8.59468427e+12]
Backtracking,[-5.44161075e+11]
Greddy,[-2.70069392e+11]
Bucket Sort,[-0.0390625]
Queue,[-0.0234375]
Divide and Conquer,[0.03515625]
Number Theory,[0.1484375]
Randomized,[0.1796875]
Union Find,[0.23828125]
Memoization,[0.25]
String Matching,[0.2578125]
Trie,[0.30859375]
Greedy,[0.30859375]
Stack,[0.33203125]
Recursion,[0.3359375]
Sliding Window,[0.3671875]
Sorting,[0.3828125]
Array,[0.40625]
String,[0.40625]
Math,[0.421875]
Breadth-First Search,[0.42578125]
Hash Table,[0.44140625]
Simulation,[0.4609375]
Two Pointers,[0.47265625]
Prefix Sum,[0.47265625]
Database,[0.49609375]
Linked List,[0.5]
Dynamic Programming,[0.51171875]
Binary Search,[0.53125]
Heap (Priority Queue),[0.5703125]
Matrix,[0.578125]
Depth-First Search,[0.59765625]
Enumeration,[0.65234375]
Data Stream,[0.671875]
Monotonic Stack,[0.69140625]
Merge Sort,[0.73046875]
Counting,[0.796875]
Design,[0.8125]
Quickselect,[0.98828125]
Game Theory,[2.70069392e+11]
Graph,[4.29734213e+12]
Bitmask,[4.29734213e+12]
Tree,[8.86574803e+12]
