Tag,Acceptance rate
Segment Tree,[-4.72984777e+13]
Suffix Array,[-4.24364032e+13]
Doubly-Linked List,[-3.53784687e+13]
Graph,[-3.53784687e+13]
Binary Tree,[-3.53784687e+13]
Binary Search Tree,[-3.53784687e+13]
Heap (Priority Queue),[-3.53784687e+13]
Bitmask,[-3.53784687e+13]
Simulation,[-3.53784687e+13]
Hash Function,[-3.53784687e+13]
Prefix Sum,[-3.53784687e+13]
Randomized,[-3.53784687e+13]
Bucket Sort,[-3.53784687e+13]
Math,[-3.53784687e+13]
Breadth-First Search,[-3.53784687e+13]
Memoization,[-3.53784687e+13]
Counting,[-3.53784687e+13]
String,[-3.53784687e+13]
Dynamic Programming,[-3.53784687e+13]
Data Stream,[-3.53784687e+13]
Divide and Conquer,[-3.53784687e+13]
Two Pointers,[-3.53784687e+13]
Sliding Window,[-3.53784687e+13]
Stack,[-3.53784687e+13]
Array,[-3.53784687e+13]
Bit Manipulation,[-3.53784687e+13]
Matrix,[-3.53784687e+13]
Hash Table,[-3.53784687e+13]
Binary Search,[-3.53784687e+13]
Greedy,[-3.53784687e+13]
Linked List,[-3.53784687e+13]
Design,[-3.53784687e+13]
Queue,[-3.53784687e+13]
Depth-First Search,[-3.53784687e+13]
Sorting,[-3.53784687e+13]
Backtracking,[-3.53784687e+13]
Union Find,[-3.53784687e+13]
Trie,[-3.53784687e+13]
Monotonic Stack,[-3.53784687e+13]
Recursion,[-3.53784687e+13]
Game Theory,[-3.53784687e+13]
Merge Sort,[-3.53784687e+13]
Tree,[-3.53784687e+13]
Reservoir Sampling,[-3.53784687e+13]
Shortest Path,[-3.53784687e+13]
Quickselect,[-3.53784687e+13]
Topological Sort,[-3.53784687e+13]
Binary Indexed Tree,[-3.53783791e+13]
Rolling Hash,[-2.83205342e+13]
Ordered Set,[-2.34584597e+13]
