Tag,Acceptance rate
Matrix,[0.09466194]
Binary Search,[0.21621461]
Stack,[0.28271461]
Design,[0.33744648]
Dynamic Programming,[0.35676727]
Breadth-First Search,[0.3605]
Array,[0.36264466]
Linked List,[0.3720637]
Doubly-Linked List,[0.3720637]
Greedy,[0.40176727]
Interactive,[0.42139466]
Graph,[0.47491194]
Topological Sort,[0.47491194]
Memoization,[0.47491194]
Randomized,[0.47491194]
Union Find,[0.47491194]
Monotonic Stack,[0.47491194]
Tree,[0.48898951]
Binary Tree,[0.48898951]
Depth-First Search,[0.48898951]
Queue,[0.50050077]
Sliding Window,[0.50050077]
Heap (Priority Queue),[0.50050077]
Monotonic Queue,[0.50050077]
Two Pointers,[0.69191194]
Bit Manipulation,[0.70546461]
Hash Table,[0.75291194]
Math,[0.77196461]
String,[0.77464466]
Backtracking,[0.81951727]
