Tag,Acceptance rate
Trie,[-0.28466597]
Backtracking,[-0.21760836]
Doubly-Linked List,[-0.01545959]
Math,[0.0613041]
Stack,[0.08541416]
Simulation,[0.08641929]
Heap (Priority Queue),[0.09314778]
Sliding Window,[0.11710234]
Union Find,[0.15116638]
Greedy,[0.15458973]
Hash Table,[0.15732679]
Dynamic Programming,[0.16287956]
Graph,[0.19378438]
Randomized,[0.19378438]
Shortest Path,[0.19378438]
Monotonic Queue,[0.19378438]
Sorting,[0.20116662]
Breadth-First Search,[0.20941084]
Depth-First Search,[0.20941084]
Prefix Sum,[0.21805893]
Binary Tree,[0.25640315]
Tree,[0.25640315]
Binary Search Tree,[0.25640315]
Linked List,[0.25702835]
Geometry,[0.26615587]
Data Stream,[0.27641839]
Two Pointers,[0.27929045]
Queue,[0.28231501]
Matrix,[0.30022375]
Binary Search,[0.30376616]
Recursion,[0.35599898]
Array,[0.36056639]
Counting,[0.37459005]
Divide and Conquer,[0.37658851]
Merge Sort,[0.37658851]
String,[0.42281203]
Design,[0.47509827]
Memoization,[0.48664378]
Monotonic Stack,[0.49498696]
