Tag,Acceptance rate
Bit Manipulation,[0.12600823]
Queue,[0.17225455]
Divide and Conquer,[0.29302814]
Math,[0.331]
Hash Table,[0.34992727]
Stack,[0.4434]
Two Pointers,[0.44401818]
Doubly-Linked List,[0.47530675]
Sliding Window,[0.49255815]
Prefix Sum,[0.51222367]
Number Theory,[0.52008095]
Monotonic Queue,[0.5491163]
Matrix,[0.55621818]
Enumeration,[0.56878182]
Array,[0.59308095]
Breadth-First Search,[0.59326667]
Union Find,[0.59326667]
Depth-First Search,[0.59326667]
Dynamic Programming,[0.60301818]
Binary Search,[0.64545455]
Simulation,[0.65692727]
Greedy,[0.67043636]
Linked List,[0.68604165]
Design,[0.68604165]
Sorting,[0.73970086]
String,[0.77460823]
Hash Function,[0.77951671]
Monotonic Stack,[0.79960995]
Heap (Priority Queue),[0.93311732]
Counting,[1.19203636]
Recursion,[1.37283636]
