Tag,Acceptance rate
Trie,[0.50329334]
Divide and Conquer,[0.53232057]
Simulation,[0.60917365]
Binary Search,[0.63198653]
Recursion,[0.63804884]
Prefix Sum,[0.65501983]
Graph,[0.68180187]
Topological Sort,[0.68180187]
Math,[0.68765882]
Bit Manipulation,[0.6880994]
Greedy,[0.69168166]
Monotonic Stack,[0.7060103]
Stack,[0.7060103]
Union Find,[0.71749169]
Depth-First Search,[0.72765246]
Dynamic Programming,[0.72928142]
Array,[0.73228353]
Memoization,[0.73544189]
Two Pointers,[0.73774838]
Hash Table,[0.75109845]
Sliding Window,[0.75140398]
Binary Search Tree,[0.75140398]
Sorting,[0.76155776]
Merge Sort,[0.76798725]
Radix Sort,[0.76798725]
Counting Sort,[0.76798725]
Binary Tree,[0.77377859]
Tree,[0.77377859]
String,[0.79672746]
Database,[0.80285586]
Counting,[0.81755826]
Quickselect,[0.82400318]
Heap (Priority Queue),[0.84058645]
Bucket Sort,[0.84058645]
Breadth-First Search,[0.84972914]
Linked List,[0.87759163]
Matrix,[0.87943713]
Backtracking,[0.92744922]
