Tag,Acceptance rate
Simulation,[0.20221123]
Matrix,[0.21092959]
Greedy,[0.21914082]
Counting,[0.23]
Two Pointers,[0.27714082]
Monotonic Stack,[0.27714082]
Trie,[0.29007041]
Graph,[0.33178877]
Union Find,[0.34863368]
Data Stream,[0.35328164]
Doubly-Linked List,[0.361]
Topological Sort,[0.37063368]
Binary Search,[0.37221123]
Bitmask,[0.38314082]
Bit Manipulation,[0.38314082]
String,[0.4]
Tree,[0.40521123]
Binary Tree,[0.40521123]
Math,[0.44914082]
Number Theory,[0.44914082]
Bucket Sort,[0.44914082]
Quickselect,[0.44914082]
Linked List,[0.46314082]
Sliding Window,[0.49421123]
Dynamic Programming,[0.51414082]
Hash Table,[0.54314082]
Divide and Conquer,[0.59607041]
Design,[0.59621123]
Sorting,[0.60435205]
Stack,[0.66014082]
Depth-First Search,[0.6700352]
Breadth-First Search,[0.6700352]
Array,[0.676]
Backtracking,[0.67721123]
Heap (Priority Queue),[0.75014082]
