No,Title,Link,Tags,Acceptance,Difficulty,Google Company Frequency,Overall Frequency
1834,Single-Threaded CPU,https://leetcode.com/problems/single-threaded-cpu/description/,[Array][Sorting][Heap (Priority Queue)],45.5%,Medium,1.209837923778334,49.69%
2713,Maximum Strictly Increasing Cells in a Matrix,https://leetcode.com/problems/maximum-strictly-increasing-cells-in-a-matrix/description/,[Array][Binary Search][Dynamic Programming][Memoization][Sorting][Matrix],29.9%,Hard,1.1616252564968437,46.36%
362,Design Hit Counter,https://leetcode.com/problems/design-hit-counter/description/,[Array][Binary Search][Design][Queue][Data Stream],68.6%,Medium,1.0434802179733935,77.52%
247,Strobogrammatic Number II,https://leetcode.com/problems/strobogrammatic-number-ii/description/,[Array][String][Recursion],52.1%,Medium,1.0296194171811583,26.03%
1125,Smallest Sufficient Team,https://leetcode.com/problems/smallest-sufficient-team/description/,[Array][Dynamic Programming][Bit Manipulation][Bitmask],56.0%,Hard,1.007640510462383,34.38%
681,Next Closest Time,https://leetcode.com/problems/next-closest-time/description/,[String][Enumeration],46.5%,Medium,0.9808292530117262,16.48%
1601,Maximum Number of Achievable Transfer Requests,https://leetcode.com/problems/maximum-number-of-achievable-transfer-requests/description/,[Array][Backtracking][Bit Manipulation][Enumeration],64.5%,Hard,0.9555114450274363,30.65%
315,Count of Smaller Numbers After Self,https://leetcode.com/problems/count-of-smaller-numbers-after-self/description/,[Array][Binary Search][Divide and Conquer][Binary Indexed Tree][Segment Tree][Merge Sort][Ordered Set],42.4%,Hard,0.952567380094287,53.60%
366,Find Leaves of Binary Tree,https://leetcode.com/problems/find-leaves-of-binary-tree/description/,[Tree][Depth-First Search][Binary Tree],80.5%,Medium,0.9064059726416132,48.32%
424,Longest Repeating Character Replacement,https://leetcode.com/problems/longest-repeating-character-replacement/description/,[Hash Table][String][Sliding Window],53.5%,Medium,0.9027576157585716,70.27%
833,Find And Replace in String,https://leetcode.com/problems/find-and-replace-in-string/description/,[Array][String][Sorting],53.0%,Medium,0.8873031950009028,29.22%
1,Two Sum,https://leetcode.com/problems/two-sum/description/,[Array][Hash Table],52.0%,Easy,0.8590878397216881,100%
1740,Find Distance in a Binary Tree,https://leetcode.com/problems/find-distance-in-a-binary-tree/description/,[Hash Table][Tree][Depth-First Search][Breadth-First Search][Binary Tree],70.5%,Medium,0.8472978603872036,36.17%
365,Water and Jug Problem,https://leetcode.com/problems/water-and-jug-problem/description/,[Math][Depth-First Search][Breadth-First Search],39.8%,Medium,0.8023464725249373,46.99%
818,Race Car,https://leetcode.com/problems/race-car/description/,[Dynamic Programming],43.6%,Hard,0.7472144018302211,49.75%
1727,Largest Submatrix With Rearrangements,https://leetcode.com/problems/largest-submatrix-with-rearrangements/description/,[Array][Greedy][Sorting][Matrix],75.4%,Medium,0.7472144018302211,66.27%
564,Find the Closest Palindrome,https://leetcode.com/problems/find-the-closest-palindrome/description/,[Math][String],22.2%,Hard,0.734450986701181,66.62%
146,LRU Cache,https://leetcode.com/problems/lru-cache/description/,[Hash Table][Linked List][Design][Doubly-Linked List],42.2%,Medium,0.72365063485336,97.85%
1425,Constrained Subsequence Sum,https://leetcode.com/problems/constrained-subsequence-sum/description/,[Array][Dynamic Programming][Queue][Sliding Window][Heap (Priority Queue)][Monotonic Queue],56.7%,Hard,0.7191226669632059,65.95%
1730,Shortest Path to Get Food,https://leetcode.com/problems/shortest-path-to-get-food/description/,[Array][Breadth-First Search][Matrix],54.6%,Medium,0.6931471805599453,23.09%
655,Print Binary Tree,https://leetcode.com/problems/print-binary-tree/description/,[Tree][Depth-First Search][Breadth-First Search][Binary Tree],63.1%,Medium,0.680877087968131,23.63%
85,Maximal Rectangle,https://leetcode.com/problems/maximal-rectangle/description/,[Array][Dynamic Programming][Stack][Matrix][Monotonic Stack],46.7%,Hard,0.6607942161081796,58.55%
642,Design Search Autocomplete System,https://leetcode.com/problems/design-search-autocomplete-system/description/,[String][Design][Trie][Data Stream],48.9%,Hard,0.6576404921030354,69.41%
759,Employee Free Time,https://leetcode.com/problems/employee-free-time/description/,[Array][Sorting][Heap (Priority Queue)],72.0%,Hard,0.6576404921030354,53.88%
1062,Longest Repeating Substring,https://leetcode.com/problems/longest-repeating-substring/description/,[String][Binary Search][Dynamic Programming][Rolling Hash][Suffix Array][Hash Function],60.3%,Medium,0.6466271649250525,35.89%
2982,Find Longest Special Substring That Occurs Thrice II,https://leetcode.com/problems/find-longest-special-substring-that-occurs-thrice-ii/description/,[Hash Table][String][Binary Search][Sliding Window][Counting],32.4%,Medium,0.6466271649250525,21.68%
1793,Maximum Score of a Good Subarray,https://leetcode.com/problems/maximum-score-of-a-good-subarray/description/,[Array][Two Pointers][Binary Search][Stack][Monotonic Stack],64.6%,Hard,0.6157605169445252,52.73%
2131,Longest Palindrome by Concatenating Two Letter Words,https://leetcode.com/problems/longest-palindrome-by-concatenating-two-letter-words/description/,[Array][Hash Table][String][Greedy][Counting],48.0%,Medium,0.6061358035703156,26.90%
1146,Snapshot Array,https://leetcode.com/problems/snapshot-array/description/,[Array][Hash Table][Binary Search][Design],37.1%,Medium,0.5668534552356532,57.38%
1930,Unique Length-3 Palindromic Subsequences,https://leetcode.com/problems/unique-length-3-palindromic-subsequences/description/,[Hash Table][String][Bit Manipulation][Prefix Sum],66.1%,Medium,0.5623075796011341,63.79%
721,Accounts Merge,https://leetcode.com/problems/accounts-merge/description/,[Array][Hash Table][String][Depth-First Search][Breadth-First Search][Union Find][Sorting],56.9%,Medium,0.5587599898515266,55.08%
834,Sum of Distances in Tree,https://leetcode.com/problems/sum-of-distances-in-tree/description/,[Dynamic Programming][Tree][Depth-First Search][Graph],59.3%,Hard,0.5465437063680699,36.52%
406,Queue Reconstruction by Height,https://leetcode.com/problems/queue-reconstruction-by-height/description/,[Array][Binary Indexed Tree][Segment Tree][Sorting],73.3%,Medium,0.538996500732687,17.82%
2316,Count Unreachable Pairs of Nodes in an Undirected Graph,https://leetcode.com/problems/count-unreachable-pairs-of-nodes-in-an-undirected-graph/description/,[Depth-First Search][Breadth-First Search][Union Find][Graph],49.7%,Medium,0.538996500732687,34.72%
68,Text Justification,https://leetcode.com/problems/text-justification/description/,[Array][String][Simulation],42.7%,Hard,0.525088070686555,78.47%
1048,Longest String Chain,https://leetcode.com/problems/longest-string-chain/description/,[Array][Hash Table][Two Pointers][String][Dynamic Programming],61.0%,Medium,0.5108256237659907,51.50%
388,Longest Absolute File Path,https://leetcode.com/problems/longest-absolute-file-path/description/,[String][Stack][Depth-First Search],47.1%,Medium,0.491594261838103,45.20%
446,Arithmetic Slices II - Subsequence,https://leetcode.com/problems/arithmetic-slices-ii-subsequence/description/,[Array][Dynamic Programming],54.6%,Hard,0.4855078157817007,79.83%
329,Longest Increasing Path in a Matrix,https://leetcode.com/problems/longest-increasing-path-in-a-matrix/description/,[Array][Dynamic Programming][Depth-First Search][Breadth-First Search][Graph][Topological Sort][Memoization][Matrix],53.4%,Hard,0.4766608102749149,62.22%
690,Employee Importance,https://leetcode.com/problems/employee-importance/description/,[Array][Hash Table][Tree][Depth-First Search][Breadth-First Search],66.5%,Medium,0.462623521948113,20.14%
253,Meeting Rooms II,https://leetcode.com/problems/meeting-rooms-ii/description/,[Array][Two Pointers][Greedy][Sorting][Heap (Priority Queue)][Prefix Sum],51.1%,Medium,0.4617537297735937,83.65%
2091,Removing Minimum and Maximum From Array,https://leetcode.com/problems/removing-minimum-and-maximum-from-array/description/,[Array][Greedy],54.8%,Medium,0.4369283775639494,25.41%
413,Arithmetic Slices,https://leetcode.com/problems/arithmetic-slices/description/,[Array][Dynamic Programming],65.0%,Medium,0.4274440148269396,38.73%
685,Redundant Connection II,https://leetcode.com/problems/redundant-connection-ii/description/,[Depth-First Search][Breadth-First Search][Union Find][Graph],34.3%,Hard,0.4228568508200335,24.67%
729,My Calendar I,https://leetcode.com/problems/my-calendar-i/description/,[Binary Search][Design][Segment Tree][Ordered Set],56.6%,Medium,0.4183685129440722,39.65%
2035,Partition Array Into Two Arrays to Minimize Sum Difference,https://leetcode.com/problems/partition-array-into-two-arrays-to-minimize-sum-difference/description/,[Array][Two Pointers][Binary Search][Dynamic Programming][Bit Manipulation][Ordered Set][Bitmask],20.0%,Hard,0.4183685129440722,61.70%
2013,Detect Squares,https://leetcode.com/problems/detect-squares/description/,[Array][Hash Table][Design][Counting],50.7%,Medium,0.4139757977760729,21.92%
490,The Maze,https://leetcode.com/problems/the-maze/description/,[Array][Depth-First Search][Breadth-First Search][Matrix],57.6%,Medium,0.4096756406445079,42.09%
2007,Find Original Array From Doubled Array,https://leetcode.com/problems/find-original-array-from-doubled-array/description/,[Array][Hash Table][Greedy][Sorting],40.5%,Medium,0.4096756406445079,14.26%
1352,Product of the Last K Numbers,https://leetcode.com/problems/product-of-the-last-k-numbers/description/,[Array][Math][Design][Queue][Data Stream],50.8%,Medium,0.4013413909243023,42.32%
1768,Merge Strings Alternately,https://leetcode.com/problems/merge-strings-alternately/description/,[Two Pointers][String],79.5%,Easy,0.3987465248675198,91.47%
980,Unique Paths III,https://leetcode.com/problems/unique-paths-iii/description/,[Array][Backtracking][Bit Manipulation][Matrix],81.7%,Hard,0.3933437475758196,35.63%
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/description/,[Hash Table][String][Sliding Window],34.5%,Medium,0.3880300462860629,96.64%
1631,Path With Minimum Effort,https://leetcode.com/problems/path-with-minimum-effort/description/,[Array][Binary Search][Depth-First Search][Breadth-First Search][Union Find][Heap (Priority Queue)][Matrix],59.4%,Medium,0.3860812412871159,29.86%
410,Split Array Largest Sum,https://leetcode.com/problems/split-array-largest-sum/description/,[Array][Binary Search][Dynamic Programming][Greedy][Prefix Sum],55.0%,Hard,0.3856624808119847,65.21%
862,Shortest Subarray with Sum at Least K,https://leetcode.com/problems/shortest-subarray-with-sum-at-least-k/description/,[Array][Binary Search][Queue][Sliding Window][Heap (Priority Queue)][Prefix Sum][Monotonic Queue],26.0%,Hard,0.3856624808119847,46.53%
652,Find Duplicate Subtrees,https://leetcode.com/problems/find-duplicate-subtrees/description/,[Hash Table][Tree][Depth-First Search][Binary Tree],59.3%,Medium,0.3782789678040075,45.72%
200,Number of Islands,https://leetcode.com/problems/number-of-islands/description/,[Array][Depth-First Search][Breadth-First Search][Union Find][Matrix],58.5%,Medium,0.3729480655375747,94.49%
1630,Arithmetic Subarrays,https://leetcode.com/problems/arithmetic-subarrays/description/,[Array][Hash Table][Sorting],83.8%,Medium,0.3643378166843015,55.07%
2115,Find All Possible Recipes from Given Supplies,https://leetcode.com/problems/find-all-possible-recipes-from-given-supplies/description/,[Array][Hash Table][String][Graph][Topological Sort],49.4%,Medium,0.3610133455373305,47.89%
1254,Number of Closed Islands,https://leetcode.com/problems/number-of-closed-islands/description/,[Array][Depth-First Search][Breadth-First Search][Union Find][Matrix],66.4%,Medium,0.3577496350684978,30.30%
5,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/description/,[String][Dynamic Programming],33.7%,Medium,0.3513721126455859,97.22%
459,Repeated Substring Pattern,https://leetcode.com/problems/repeated-substring-pattern/description/,[String][String Matching],46.1%,Easy,0.349845392833071,59.52%
1980,Find Unique Binary String,https://leetcode.com/problems/find-unique-binary-string/description/,[Array][Hash Table][String][Backtracking],74.5%,Medium,0.3422862064866327,48.52%
650,2 Keys Keyboard,https://leetcode.com/problems/2-keys-keyboard/description/,[Math][Dynamic Programming],54.0%,Medium,0.3393540829961018,32.81%
417,Pacific Atlantic Water Flow,https://leetcode.com/problems/pacific-atlantic-water-flow/description/,[Array][Depth-First Search][Breadth-First Search][Matrix],55.1%,Medium,0.3240924361476212,53.05%
295,Find Median from Data Stream,https://leetcode.com/problems/find-median-from-data-stream/description/,[Two Pointers][Design][Sorting][Heap (Priority Queue)][Data Stream],51.8%,Hard,0.3150810466398953,67.68%
2235,Add Two Integers,https://leetcode.com/problems/add-two-integers/description/,[Math],87.5%,Easy,0.3142822926535801,84.99%
300,Longest Increasing Subsequence,https://leetcode.com/problems/longest-increasing-subsequence/description/,[Array][Binary Search][Dynamic Programming],55.0%,Medium,0.3138601198048769,77.69%
832,Flipping an Image,https://leetcode.com/problems/flipping-an-image/description/,[Array][Two Pointers][Bit Manipulation][Matrix][Simulation],81.7%,Easy,0.3012613305781618,25.19%
88,Merge Sorted Array,https://leetcode.com/problems/merge-sorted-array/description/,[Array][Two Pointers][Sorting],49.2%,Easy,0.2971052925690822,98.92%
718,Maximum Length of Repeated Subarray,https://leetcode.com/problems/maximum-length-of-repeated-subarray/description/,[Array][Binary Search][Dynamic Programming][Sliding Window][Rolling Hash][Hash Function],51.0%,Medium,0.291910408561302,45.45%
210,Course Schedule II,https://leetcode.com/problems/course-schedule-ii/description/,[Depth-First Search][Breadth-First Search][Graph][Topological Sort],50.1%,Medium,0.2900346193274134,68.51%
1361,Validate Binary Tree Nodes,https://leetcode.com/problems/validate-binary-tree-nodes/description/,[Tree][Depth-First Search][Breadth-First Search][Union Find][Graph][Binary Tree],44.0%,Medium,0.2795848622191615,73.92%
72,Edit Distance,https://leetcode.com/problems/edit-distance/description/,[String][Dynamic Programming],56.1%,Medium,0.2716364238085919,58.60%
470,Implement Rand10() Using Rand7(),https://leetcode.com/problems/implement-rand10-using-rand7/description/,[Math][Rejection Sampling][Randomized][Probability and Statistics],46.0%,Medium,0.2646925542270822,29.93%
2,Add Two Numbers,https://leetcode.com/problems/add-two-numbers/description/,[Linked List][Math][Recursion],42.4%,Medium,0.2584382340087571,93.65%
460,LFU Cache,https://leetcode.com/problems/lfu-cache/description/,[Hash Table][Linked List][Design][Doubly-Linked List],44.0%,Hard,0.2545298651348804,75.85%
