No,Title,Tags,Acceptance,Difficulty,Frequency
2781,Length of the Longest Valid Substring,[Array][Hash Table][String][Sliding Window],35.6%,Hard,2.767906796903054
767,Reorganize String,[Hash Table][String][Greedy][Sorting][Heap (Priority Queue)][Counting],54.5%,Medium,2.644767562046146
2055,Plates Between Candles,[Array][String][Binary Search][Prefix Sum],44.2%,Medium,2.5216283271892377
1152,Analyze User Website Visit Pattern,[Array][Hash Table][Sorting],42.9%,Medium,2.3984890923323294
2519,Count the Number of K-Big Indices,[Array][Binary Search][Divide and Conquer][Binary Indexed Tree][Segment Tree][Merge Sort][Ordered Set],53.4%,Hard,2.353757315758966
1,Two Sum,[Array][Hash Table],52.0%,Easy,2.3434195884930533
42,Trapping Rain Water,[Array][Two Pointers][Dynamic Programming][Stack][Monotonic Stack],60.8%,Hard,2.220280353636145
2355,Maximum Number of Books You Can Take,[Array][Dynamic Programming][Stack][Monotonic Stack],41.3%,Hard,2.097141118779237
1359,Count All Valid Pickup and Delivery Options,[Math][Dynamic Programming][Combinatorics],65.2%,Hard,2.0724728723637424
2357,Make Array Zero by Subtracting Equal Amounts,[Array][Hash Table][Greedy][Sorting][Heap (Priority Queue)][Simulation],72.1%,Easy,2.0028650419827856
632,Smallest Range Covering Elements from K Lists,[Array][Hash Table][Greedy][Sliding Window][Sorting][Heap (Priority Queue)],62.3%,Hard,1.8919341478535157
4,Median of Two Sorted Arrays,[Array][Binary Search][Divide and Conquer],39.4%,Hard,1.8484148112429875
472,Concatenated Words,[Array][String][Dynamic Programming][Depth-First Search][Trie],49.6%,Hard,1.8177349556313156
127,Word Ladder,[Hash Table][String][Breadth-First Search],38.8%,Hard,1.6945957207744073
818,Race Car,[Dynamic Programming],43.6%,Hard,1.6945957207744073
2340,Minimum Adjacent Swaps to Make a Valid Array,[Array][Greedy],72.8%,Medium,1.65328979496295
1220,Count Vowels Permutation,[Dynamic Programming],62.2%,Hard,1.6506808709681495
146,LRU Cache,[Hash Table][Linked List][Design][Doubly-Linked List],42.2%,Medium,1.5894759804141987
2281,Sum of Total Strength of Wizards,[Array][Stack][Monotonic Stack][Prefix Sum],27.7%,Hard,1.499234772300486
2870,Minimum Number of Operations to Make Array Empty,[Array][Hash Table][Greedy][Counting],61.9%,Medium,1.4950275612563562
1567,Maximum Length of Subarray With Positive Product,[Array][Dynamic Programming][Greedy],44.2%,Medium,1.4766784225881597
1846,Maximum Element After Decreasing and Rearranging,[Array][Greedy][Sorting],66.0%,Medium,1.4663370687934272
200,Number of Islands,[Array][Depth-First Search][Breadth-First Search][Union Find][Matrix],58.5%,Medium,1.4384801142904609
210,Course Schedule II,[Depth-First Search][Breadth-First Search][Graph][Topological Sort],50.1%,Medium,1.3933354631349397
588,Design In-Memory File System,[Hash Table][String][Design][Trie],48.2%,Hard,1.3910002521573033
907,Sum of Subarray Minimums,[Array][Dynamic Programming][Stack][Monotonic Stack],37.4%,Medium,1.3752850756115214
88,Merge Sorted Array,[Array][Two Pointers][Sorting],49.2%,Easy,1.3752303089787397
847,Shortest Path Visiting All Nodes,[Dynamic Programming][Bit Manipulation][Breadth-First Search][Graph][Bitmask],65.6%,Hard,1.349926716949016
815,Bus Routes,[Array][Hash Table][Breadth-First Search],48.2%,Hard,1.3440770366239985
49,Group Anagrams,[Array][Hash Table][String][Sorting],68.2%,Medium,1.303220522586548
1531,String Compression II,[String][Dynamic Programming],52.8%,Hard,1.2992829841302609
140,Word Break II,[Array][Hash Table][String][Dynamic Programming][Backtracking][Trie][Memoization],47.5%,Hard,1.293254329850105
1768,Merge Strings Alternately,[Two Pointers][String],79.5%,Easy,1.2786720484137417
1063,Number of Valid Subarrays,[Array][Stack][Monotonic Stack],78.3%,Hard,1.252762968495368
1727,Largest Submatrix With Rearrangements,[Array][Greedy][Sorting][Matrix],75.4%,Medium,1.252762968495368
2268,Minimum Number of Keypresses,[Hash Table][String][Greedy][Sorting][Counting],70.9%,Medium,1.252762968495368
1425,Constrained Subsequence Sum,[Array][Dynamic Programming][Queue][Sliding Window][Heap (Priority Queue)][Monotonic Queue],56.7%,Hard,1.2144441041932312
935,Knight Dialer,[Dynamic Programming],59.9%,Medium,1.209837923778334
5,Longest Palindromic Substring,[String][Dynamic Programming],33.7%,Medium,1.209593720551196
2,Add Two Numbers,[Linked List][Math][Recursion],42.4%,Medium,1.206625874557668
1420,Build Array Where You Can Find The Maximum Exactly K Comparisons,[Dynamic Programming][Prefix Sum],69.0%,Hard,1.1996154989569803
207,Course Schedule,[Depth-First Search][Breadth-First Search][Graph][Topological Sort],46.6%,Medium,1.1783556399556356
3,Longest Substring Without Repeating Characters,[Hash Table][String][Sliding Window],34.5%,Medium,1.1444586767935283
812,Largest Triangle Area,[Array][Math][Geometry],60.3%,Easy,1.0698333241180664
875,Koko Eating Bananas,[Array][Binary Search],49.0%,Medium,1.0202022344184585
22,Generate Parentheses,[String][Dynamic Programming][Backtracking],74.2%,Medium,1.017978389726985
11,Container With Most Water,[Array][Two Pointers][Greedy],54.9%,Medium,1.013820725054123
994,Rotting Oranges,[Array][Breadth-First Search][Matrix],53.9%,Medium,0.9808292530117262
121,Best Time to Buy and Sell Stock,[Array][Dynamic Programming],53.5%,Easy,0.9803665256886764
56,Merge Intervals,[Array][Sorting],47.1%,Medium,0.9725463130153784
1457,Pseudo-Palindromic Paths in a Binary Tree,[Bit Manipulation][Tree][Depth-First Search][Breadth-First Search][Binary Tree],68.5%,Medium,0.9473813189441862
458,Poor Pigs,[Math][Dynamic Programming][Combinatorics],59.9%,Hard,0.9315582040049435
1239,Maximum Length of a Concatenated String with Unique Characters,[Array][String][Backtracking][Bit Manipulation],54.1%,Medium,0.9315582040049435
343,Integer Break,[Math][Dynamic Programming],60.2%,Medium,0.9289758914014707
1814,Count Nice Pairs in an Array,[Array][Hash Table][Math][Counting],49.2%,Medium,0.9264088620397397
295,Find Median from Data Stream,[Two Pointers][Design][Sorting][Heap (Priority Queue)][Data Stream],51.8%,Hard,0.9088557533866369
587,Erect the Fence,[Array][Math][Geometry],51.9%,Hard,0.9088557533866369
2742,Painting the Walls,[Array][Dynamic Programming],51.1%,Hard,0.8967461358011848
128,Longest Consecutive Sequence,[Array][Hash Table][Union Find],47.3%,Medium,0.8873031950009028
2667,Create Hello World Function,,80.9%,Easy,0.8725623620466855
1590,Make Sum Divisible by P,[Array][Hash Table][Prefix Sum],28.9%,Medium,0.8690378470236095
14,Longest Common Prefix,[String][Trie],42.4%,Easy,0.8644369338389098
869,Reordered Power of 2,[Hash Table][Math][Sorting][Counting][Enumeration],62.8%,Medium,0.8472978603872036
23,Merge k Sorted Lists,[Linked List][Divide and Conquer][Heap (Priority Queue)][Merge Sort],52.2%,Hard,0.8407436200567103
150,Evaluate Reverse Polish Notation,[Array][Math][Stack],51.0%,Medium,0.8394392737746823
475,Heaters,[Array][Two Pointers][Binary Search][Sorting],37.6%,Medium,0.8347976976229722
155,Min Stack,[Stack][Design],53.8%,Medium,0.8246340008099917
15,3Sum,[Array][Two Pointers][Sorting],34.2%,Medium,0.8244217316519031
1496,Path Crossing,[Hash Table][String],62.4%,Easy,0.8241754429663495
1044,Longest Duplicate Substring,[String][Binary Search][Sliding Window][Rolling Hash][Suffix Array][Hash Function],30.6%,Hard,0.8109302162163288
2861,Maximum Number of Alloys,[Array][Binary Search],37.6%,Medium,0.8109302162163288
36,Valid Sudoku,[Array][Hash Table][Matrix],59.3%,Medium,0.8042567342472128
55,Jump Game,[Array][Dynamic Programming][Greedy],38.5%,Medium,0.8030814424242575
909,Snakes and Ladders,[Array][Breadth-First Search][Matrix],43.8%,Medium,0.7919645976288356
503,Next Greater Element II,[Array][Stack][Monotonic Stack],63.7%,Medium,0.7849120431121034
287,Find the Duplicate Number,[Array][Two Pointers][Binary Search][Bit Manipulation],59.4%,Medium,0.7839658545779734
1647,Minimum Deletions to Make Character Frequencies Unique,[Hash Table][String][Greedy][Sorting],61.2%,Medium,0.7812544480702122
729,My Calendar I,[Binary Search][Design][Segment Tree][Ordered Set],56.6%,Medium,0.7741883905630712
460,LFU Cache,[Hash Table][Linked List][Design][Doubly-Linked List],44.0%,Hard,0.7698398013481997
2385,Amount of Time for Binary Tree to Be Infected,[Tree][Depth-First Search][Breadth-First Search][Binary Tree],63.0%,Medium,0.7698398013481997
17,Letter Combinations of a Phone Number,[Hash Table][String][Backtracking],60.0%,Medium,0.755362192695527
1897,Redistribute Characters to Make All Strings Equal,[Hash Table][String][Counting],67.7%,Easy,0.7537718023763802
993,Cousins in Binary Tree,[Tree][Depth-First Search][Breadth-First Search][Binary Tree],55.8%,Easy,0.7435780341868372
606,Construct String from Binary Tree,[String][Tree][Depth-First Search][Binary Tree],69.0%,Medium,0.7407752295491999
48,Rotate Image,[Array][Math][Matrix],73.8%,Medium,0.7400208655177113
10,Regular Expression Matching,[String][Dynamic Programming][Recursion],28.1%,Hard,0.7385488363392251
118,Pascal's Triangle,[Array][Dynamic Programming],73.9%,Easy,0.7383903432907946
84,Largest Rectangle in Histogram,[Array][Stack][Monotonic Stack],44.0%,Hard,0.734576365973644
7,Reverse Integer,[Math],28.4%,Medium,0.7289233537252289
1757,Recyclable and Low Fat Products,[Database],89.2%,Easy,0.7271535485451404
20,Valid Parentheses,[String][Stack],40.5%,Easy,0.726798283513693
387,First Unique Character in a String,[Hash Table][String][Queue][Counting],62.0%,Easy,0.7221347174331976
2904,Shortest and Lexicographically Smallest Beautiful String,[String][Sliding Window],37.9%,Medium,0.7191226669632059
53,Maximum Subarray,[Array][Divide and Conquer][Dynamic Programming],50.6%,Medium,0.7139961891116962
215,Kth Largest Element in an Array,[Array][Divide and Conquer][Sorting][Heap (Priority Queue)][Quickselect],66.8%,Medium,0.7069476860068781
347,Top K Frequent Elements,[Array][Hash Table][Divide and Conquer][Sorting][Heap (Priority Queue)][Bucket Sort][Counting][Quickselect],62.7%,Medium,0.7001080260008576
2038,Remove Colored Pieces if Both Neighbors are the Same Color,[Math][String][Greedy][Game Theory],62.8%,Medium,0.6931471805599453
1658,Minimum Operations to Reduce X to Zero,[Array][Hash Table][Binary Search][Sliding Window][Prefix Sum],39.7%,Medium,0.6563976383512038
300,Longest Increasing Subsequence,[Array][Binary Search][Dynamic Programming],55.0%,Medium,0.647343522991433
13,Roman to Integer,[Hash Table][Math][String],60.8%,Easy,0.6472959360162669
135,Candy,[Array][Greedy],43.2%,Hard,0.6361178989515811
233,Number of Digit One,[Math][Dynamic Programming][Recursion],34.4%,Hard,0.6325225587435105
227,Basic Calculator II,[Math][String][Stack],43.4%,Medium,0.6220141936970933
1793,Maximum Score of a Good Subarray,[Array][Two Pointers][Binary Search][Stack][Monotonic Stack],64.6%,Hard,0.6157605169445252
