No,Title,Tags,Acceptance,Difficulty,Frequency
535,Encode and Decode TinyURL,[Hash Table][String][Design][Hash Function],86.3%,Medium,0.96083797141521
1658,Minimum Operations to Reduce X to Zero,[Array][Hash Table][Binary Search][Sliding Window][Prefix Sum],39.7%,Medium,0.9344130822327825
458,Poor Pigs,[Math][Dynamic Programming][Combinatorics],59.9%,Hard,0.8916061798458892
1705,Maximum Number of Eaten Apples,[Array][Greedy][Heap (Priority Queue)],38.8%,Medium,0.8406342027968305
356,Line Reflection,[Array][Hash Table][Math],35.4%,Medium,0.8211213885732487
823,Binary Trees With Factors,[Array][Hash Table][Dynamic Programming][Sorting],52.9%,Medium,0.784753744402374
1282,Group the People Given the Group Size They Belong To,[Array][Hash Table],87.6%,Medium,0.74757474116062
279,Perfect Squares,[Math][Dynamic Programming][Breadth-First Search],54.7%,Medium,0.7130070484343318
1758,Minimum Changes To Make Alternating Binary String,[String],64.0%,Easy,0.6620350713852732
2667,Create Hello World Function,,80.9%,Easy,0.6161249833232461
1,Two Sum,[Array][Hash Table],52.0%,Easy,0.5651530062741874
1930,Unique Length-3 Palindromic Subsequences,[Hash Table][String][Bit Manipulation][Prefix Sum],66.1%,Medium,0.5578637175086234
456,132 Pattern,[Array][Binary Search][Stack][Monotonic Stack][Ordered Set],33.7%,Medium,0.5131385441363598
368,Largest Divisible Subset,[Array][Math][Dynamic Programming][Sorting],45.2%,Medium,0.5047206317234034
576,Out of Boundary Paths,[Dynamic Programming],48.1%,Medium,0.4693404899931309
888,Fair Candy Swap,[Array][Hash Table][Binary Search][Sorting],61.5%,Easy,0.41836851294407224
2035,Partition Array Into Two Arrays to Minimize Sum Difference,[Array][Two Pointers][Binary Search][Dynamic Programming][Bit Manipulation][Ordered Set][Bitmask],20.0%,Hard,0.41836851294407224
606,Construct String from Binary Tree,[String][Tree][Depth-First Search][Binary Tree],69.0%,Medium,0.39730179746900346
1422,Maximum Score After Splitting a String,[String][Prefix Sum],62.2%,Easy,0.3933437475758196
1535,Find the Winner of an Array Game,[Array][Simulation],57.2%,Medium,0.37827896780400755
1441,Build an Array With Stack Operations,[Array][Stack][Simulation],79.8%,Medium,0.3746934494414107
128,Longest Consecutive Sequence,[Array][Hash Table][Union Find],47.3%,Medium,0.3652797911322508
14,Longest Common Prefix,[String][Trie],42.4%,Easy,0.3638421350524408
3000,Maximum Area of Longest Diagonal Rectangle,[Array],35.2%,Easy,0.36101334553733055
2391,Minimum Amount of Time to Collect Garbage,[Array][String][Prefix Sum],85.7%,Medium,0.3513978868378886
515,Find Largest Value in Each Tree Row,[Tree][Depth-First Search][Breadth-First Search][Binary Tree],65.7%,Medium,0.33520721431462625
1239,Maximum Length of a Concatenated String with Unique Characters,[Array][String][Backtracking][Bit Manipulation],54.1%,Medium,0.325422400434628
4,Median of Two Sorted Arrays,[Array][Binary Search][Divide and Conquer],39.4%,Hard,0.31591744682247913
1287,Element Appearing More Than 25% In Sorted Array,[Array],61.1%,Easy,0.30774963550259016
2009,Minimum Number of Operations to Make Array Continuous,[Array][Binary Search],53.1%,Hard,0.30538164955118186
31,Next Permutation,[Array][Two Pointers],39.5%,Medium,0.30194025307883704
405,Convert a Number to Hexadecimal,[Math][Bit Manipulation],48.1%,Easy,0.3007541540191337
239,Sliding Window Maximum,[Array][Queue][Sliding Window][Heap (Priority Queue)][Monotonic Queue],46.5%,Hard,0.2973524774834634
454,4Sum II,[Array][Hash Table],57.2%,Medium,0.29407187055055195
1048,Longest String Chain,[Array][Hash Table][Two Pointers][String][Dynamic Programming],61.0%,Medium,0.2595111954850846
220,Contains Duplicate III,[Array][Sliding Window][Sorting][Bucket Sort][Ordered Set],22.7%,Hard,0.25452986513488046
2385,Amount of Time for Binary Tree to Be Infected,[Tree][Depth-First Search][Breadth-First Search][Binary Tree],63.0%,Medium,0.25452986513488046
7,Reverse Integer,[Math],28.4%,Medium,0.23760797180577634
532,K-diff Pairs in an Array,[Array][Hash Table][Two Pointers][Binary Search][Sorting],42.6%,Medium,0.2295744416445002
1903,Largest Odd Number in String,[Math][String][Greedy],63.4%,Easy,0.22760642132910802
1716,Calculate Money in Leetcode Bank,[Math],78.2%,Easy,0.219455778235025
2,Add Two Numbers,[Linked List][Math][Recursion],42.4%,Medium,0.21811018862178536
2235,Add Two Integers,[Math],87.5%,Easy,0.21215279757720032
9,Palindrome Number,[Math],55.8%,Easy,0.20840506159972816
15,3Sum,[Array][Two Pointers][Sorting],34.2%,Medium,0.2033722469417143
88,Merge Sorted Array,[Array][Two Pointers][Sorting],49.2%,Easy,0.20211552143139105
1021,Remove Outermost Parentheses,[String][Stack],82.2%,Easy,0.20112063922677242
42,Trapping Rain Water,[Array][Two Pointers][Dynamic Programming][Stack][Monotonic Stack],60.8%,Hard,0.2002297505731169
310,Minimum Height Trees,[Depth-First Search][Breadth-First Search][Graph][Topological Sort],38.8%,Medium,0.19966567025192705
2413,Smallest Even Multiple,[Math][Number Theory],87.5%,Easy,0.19585140902620227
2610,Convert an Array Into a 2D Array With Conditions,[Array][Hash Table],87.3%,Medium,0.19574457712609533
137,Single Number II,[Array][Bit Manipulation],62.2%,Medium,0.1950000150537256
455,Assign Cookies,[Array][Two Pointers][Greedy][Sorting],52.7%,Easy,0.1950000150537256
337,House Robber III,[Dynamic Programming][Tree][Depth-First Search][Binary Tree],54.2%,Medium,0.19105523676270922
1347,Minimum Number of Steps to Make Two Strings Anagram,[Hash Table][String][Counting],82.0%,Medium,0.18658595558041216
875,Koko Eating Bananas,[Array][Binary Search],49.0%,Medium,0.18619881353074091
1043,Partition Array for Maximum Sum,[Array][Dynamic Programming],76.4%,Medium,0.1735948056557174
698,Partition to K Equal Sum Subsets,[Array][Dynamic Programming][Backtracking][Bit Manipulation][Memoization][Bitmask],38.5%,Medium,0.1720973230180951
767,Reorganize String,[Hash Table][String][Greedy][Sorting][Heap (Priority Queue)][Counting],54.5%,Medium,0.16893998809812322
66,Plus One,[Array][Math],45.0%,Easy,0.16803022668319867
54,Spiral Matrix,[Array][Matrix][Simulation],48.9%,Medium,0.1673904263895277
20,Valid Parentheses,[String][Stack],40.5%,Easy,0.1658966771265543
802,Find Eventual Safe States,[Depth-First Search][Breadth-First Search][Graph][Topological Sort],62.2%,Medium,0.16229864091884685
