No,Title,Tags,Acceptance,Difficulty,Frequency
1169,Invalid Transactions,[Array][Hash Table][String][Sorting],31.2%,Medium,4.006205973377376
1029,Two City Scheduling,[Array][Greedy][Sorting],66.5%,Medium,3.4204807826033967
430,Flatten a Multilevel Doubly Linked List,[Linked List][Depth-First Search][Doubly-Linked List],60.0%,Medium,3.270254822523702
1396,Design Underground System,[Hash Table][String][Design],74.7%,Medium,3.03694333281155
1274,Number of Ships in a Rectangle,[Array][Divide and Conquer][Interactive],68.7%,Hard,2.9473188368961347
1472,Design Browser History,[Array][Linked List][Stack][Design][Doubly-Linked List][Data Stream],77.5%,Medium,2.361593646122156
1244,Design A Leaderboard,[Hash Table][Design][Sorting],67.9%,Medium,2.2803893606022614
380,Insert Delete GetRandom O(1),[Array][Hash Table][Math][Design][Randomized],54.4%,Medium,2.272544549975824
642,Design Search Autocomplete System,[String][Design][Trie][Data Stream],48.9%,Hard,2.2377364462531206
394,Decode String,[String][Stack][Recursion],59.0%,Medium,1.6520112554791415
1756,Design Most Recently Used Queue,[Array][Hash Table][Stack][Design][Binary Indexed Tree][Ordered Set],76.2%,Medium,1.6094379124341003
629,K Inverse Pairs Array,[Dynamic Programming],50.1%,Hard,1.5425436776040702
1614,Maximum Nesting Depth of the Parentheses,[String][Stack],81.5%,Easy,1.403196171922494
797,All Paths From Source to Target,[Backtracking][Depth-First Search][Breadth-First Search][Graph],82.4%,Medium,1.3565778887914137
823,Binary Trees With Factors,[Array][Hash Table][Dynamic Programming][Sorting],52.9%,Medium,1.33828514193353
1583,Count Unhappy Friends,[Array][Simulation],61.4%,Medium,1.2992829841302609
611,Valid Triangle Number,[Array][Two Pointers][Binary Search][Greedy][Sorting],51.0%,Medium,1.1984017592764806
1209,Remove All Adjacent Duplicates in String II,[String][Stack],57.4%,Medium,1.087845024483494
387,First Unique Character in a String,[Hash Table][String][Queue][Counting],62.0%,Easy,1.0586069540544105
1347,Minimum Number of Steps to Make Two Strings Anagram,[Hash Table][String][Counting],82.0%,Medium,1.0459685551826876
390,Elimination Game,[Math][Recursion],45.8%,Medium,0.9555114450274365
1656,Design an Ordered Stream,[Array][Hash Table][Design][Data Stream],84.3%,Easy,0.8266785731844679
400,Nth Digit,[Math][Binary Search],34.7%,Medium,0.7741883905630712
1422,Maximum Score After Splitting a String,[String][Prefix Sum],62.2%,Easy,0.734450986701181
253,Meeting Rooms II,[Array][Two Pointers][Greedy][Sorting][Heap (Priority Queue)][Prefix Sum],51.1%,Medium,0.6884924010149629
2708,Maximum Strength of a Group,[Array][Backtracking][Greedy][Sorting],23.7%,Medium,0.680877087968131
56,Merge Intervals,[Array][Sorting],47.1%,Medium,0.6691300154792119
311,Sparse Matrix Multiplication,[Array][Hash Table][Matrix],68.0%,Medium,0.6690496289808848
155,Min Stack,[Stack][Design],53.8%,Medium,0.6632942174102642
200,Number of Islands,[Array][Depth-First Search][Breadth-First Search][Union Find][Matrix],58.5%,Medium,0.660454818874403
127,Word Ladder,[Hash Table][String][Breadth-First Search],38.8%,Hard,0.6155609440298986
79,Word Search,[Array][String][Backtracking][Matrix],41.4%,Medium,0.6101081612209409
